Sector,Piscina,Corrida,Estadio,Parametro,Promedio,supervivencia
Sala 04,L0401,0028C,Zoea 1,Oxigeno,5.38,93
Sala 04,L0402,0028C,Zoea 1,Oxigeno,5.32,91
Sala 04,L0403,0028C,Zoea 1,Oxigeno,5.38,93
Sala 04,L0404,0028C,Zoea 1,Oxigeno,5.37,94
Sala 04,L0405,0028C,Zoea 1,Oxigeno,5.37,100
Sala 04,L0406,0028C,Zoea 1,Oxigeno,5.37,98
Sala 04,L0407,0028C,Zoea 1,Oxigeno,5.37,99
Sala 04,L0408,0028C,Zoea 1,Oxigeno,5.34,97
Sala 04,L0409,0028C,Zoea 1,Oxigeno,5.36,100
Sala 04,L0410,0028C,Zoea 1,Oxigeno,5.35,97
Sala 04,L0401,0029C,Zoea 1,Oxigeno,5.67,87
Sala 04,L0402,0029C,Zoea 1,Oxigeno,5.64,87
Sala 04,L0403,0029C,Zoea 1,Oxigeno,5.63,79
Sala 04,L0404,0029C,Zoea 1,Oxigeno,5.62,79
Sala 04,L0405,0029C,Zoea 1,Oxigeno,5.67,79
Sala 04,L0406,0029C,Zoea 1,Oxigeno,5.63,83
Sala 04,L0407,0029C,Zoea 1,Oxigeno,5.65,80
Sala 04,L0408,0029C,Zoea 1,Oxigeno,5.63,87
Sala 04,L0409,0029C,Zoea 1,Oxigeno,5.67,82
Sala 04,L0410,0029C,Zoea 1,Oxigeno,5.58,87
Sala 04,L0401,0030C,Zoea 1,Oxigeno,5.55,87
Sala 04,L0402,0030C,Zoea 1,Oxigeno,5.56,80
Sala 04,L0403,0030C,Zoea 1,Oxigeno,5.59,80
Sala 04,L0404,0030C,Zoea 1,Oxigeno,5.61,87
Sala 04,L0405,0030C,Zoea 1,Oxigeno,5.55,92
Sala 04,L0406,0030C,Zoea 1,Oxigeno,5.52,79
Sala 04,L0407,0030C,Zoea 1,Oxigeno,5.54,95
Sala 04,L0408,0030C,Zoea 1,Oxigeno,5.54,80
Sala 04,L0409,0030C,Zoea 1,Oxigeno,5.58,95
Sala 04,L0410,0030C,Zoea 1,Oxigeno,5.56,82
Sala 05,L0501,0030C,Zoea 1,Oxigeno,5.31,72
Sala 05,L0502,0030C,Zoea 1,Oxigeno,5.32,75
Sala 05,L0503,0030C,Zoea 1,Oxigeno,5.33,75
Sala 05,L0504,0030C,Zoea 1,Oxigeno,5.30,76
Sala 05,L0505,0030C,Zoea 1,Oxigeno,5.26,73
Sala 05,L0506,0030C,Zoea 1,Oxigeno,5.27,76
Sala 05,L0507,0030C,Zoea 1,Oxigeno,5.29,78
Sala 05,L0508,0030C,Zoea 1,Oxigeno,5.31,75
Sala 05,L0509,0030C,Zoea 1,Oxigeno,5.33,72
Sala 05,L0510,0030C,Zoea 1,Oxigeno,5.32,82
Sala 05,L0501,0031C,Zoea 1,Oxigeno,5.22,95
Sala 05,L0502,0031C,Zoea 1,Oxigeno,5.23,93
Sala 05,L0503,0031C,Zoea 1,Oxigeno,5.25,95
Sala 05,L0504,0031C,Zoea 1,Oxigeno,5.27,90
Sala 05,L0505,0031C,Zoea 1,Oxigeno,5.21,90
Sala 05,L0506,0031C,Zoea 1,Oxigeno,5.23,90
Sala 05,L0507,0031C,Zoea 1,Oxigeno,5.26,88
Sala 05,L0508,0031C,Zoea 1,Oxigeno,5.24,90
Sala 05,L0509,0031C,Zoea 1,Oxigeno,5.27,90
Sala 05,L0510,0031C,Zoea 1,Oxigeno,5.23,88
Sala 04,L0401,0032C,Zoea 1,Oxigeno,5.60,89
Sala 04,L0402,0032C,Zoea 1,Oxigeno,5.57,89
Sala 04,L0403,0032C,Zoea 1,Oxigeno,5.56,92
Sala 04,L0404,0032C,Zoea 1,Oxigeno,5.58,94
Sala 04,L0406,0032C,Zoea 1,Oxigeno,5.56,95
Sala 04,L0407,0032C,Zoea 1,Oxigeno,5.55,94
Sala 04,L0408,0032C,Zoea 1,Oxigeno,5.55,91
Sala 04,L0409,0032C,Zoea 1,Oxigeno,5.56,92
Sala 04,L0410,0032C,Zoea 1,Oxigeno,5.57,95
Sala 05,L0501,0032C,Zoea 1,Oxigeno,5.16,82
Sala 05,L0502,0032C,Zoea 1,Oxigeno,5.19,83
Sala 05,L0503,0032C,Zoea 1,Oxigeno,5.08,83
Sala 05,L0504,0032C,Zoea 1,Oxigeno,5.04,82
Sala 05,L0505,0032C,Zoea 1,Oxigeno,5.15,82
Sala 05,L0506,0032C,Zoea 1,Oxigeno,5.09,86
Sala 05,L0507,0032C,Zoea 1,Oxigeno,5.03,83
Sala 05,L0508,0032C,Zoea 1,Oxigeno,5.19,85
Sala 05,L0509,0032C,Zoea 1,Oxigeno,5.18,82
Sala 07,L0701,0032C,Zoea 1,Oxigeno,4.39,85
Sala 07,L0702,0032C,Zoea 1,Oxigeno,4.38,85
Sala 07,L0703,0032C,Zoea 1,Oxigeno,4.54,86
Sala 07,L0704,0032C,Zoea 1,Oxigeno,4.43,87
Sala 07,L0705,0032C,Zoea 1,Oxigeno,4.43,82
Sala 07,L0706,0032C,Zoea 1,Oxigeno,4.40,83
Sala 07,L0707,0032C,Zoea 1,Oxigeno,4.44,85
Sala 07,L0708,0032C,Zoea 1,Oxigeno,4.42,87
Sala 07,L0709,0032C,Zoea 1,Oxigeno,4.39,85
Sala 07,L0710,0032C,Zoea 1,Oxigeno,4.39,85
Sala 07,L0711,0032C,Zoea 1,Oxigeno,4.33,85
Sala 07,L0712,0032C,Zoea 1,Oxigeno,4.39,79
Sala 07,L0713,0032C,Zoea 1,Oxigeno,4.38,94
Sala 07,L0714,0032C,Zoea 1,Oxigeno,4.42,86
Sala 05,L0501,0033C,Zoea 1,Oxigeno,5.37,99
Sala 05,L0502,0033C,Zoea 1,Oxigeno,5.43,97
Sala 05,L0503,0033C,Zoea 1,Oxigeno,5.42,96
Sala 05,L0504,0033C,Zoea 1,Oxigeno,5.42,99
Sala 05,L0505,0033C,Zoea 1,Oxigeno,5.41,100
Sala 05,L0506,0033C,Zoea 1,Oxigeno,5.41,102
Sala 05,L0507,0033C,Zoea 1,Oxigeno,5.43,103
Sala 05,L0508,0033C,Zoea 1,Oxigeno,5.38,96
Sala 05,L0509,0033C,Zoea 1,Oxigeno,5.47,100
Sala 05,L0510,0033C,Zoea 1,Oxigeno,5.45,100
Sala 07,L0701,0033C,Zoea 1,Oxigeno,5.43,72
Sala 07,L0702,0033C,Zoea 1,Oxigeno,5.39,74
Sala 07,L0703,0033C,Zoea 1,Oxigeno,5.38,73
Sala 07,L0704,0033C,Zoea 1,Oxigeno,5.44,74
Sala 07,L0705,0033C,Zoea 1,Oxigeno,5.43,65
Sala 07,L0706,0033C,Zoea 1,Oxigeno,5.43,63
Sala 07,L0707,0033C,Zoea 1,Oxigeno,5.46,73
Sala 07,L0708,0033C,Zoea 1,Oxigeno,5.43,69
Sala 07,L0709,0033C,Zoea 1,Oxigeno,5.45,65
Sala 07,L0710,0033C,Zoea 1,Oxigeno,5.40,71
Sala 07,L0711,0033C,Zoea 1,Oxigeno,5.42,67
Sala 07,L0712,0033C,Zoea 1,Oxigeno,5.47,65
Sala 10,L1001,0033C,Zoea 1,Oxigeno,4.80,80
Sala 10,L1002,0033C,Zoea 1,Oxigeno,4.63,78
Sala 10,L1003,0033C,Zoea 1,Oxigeno,4.71,82
Sala 10,L1004,0033C,Zoea 1,Oxigeno,4.66,80
Sala 10,L1005,0033C,Zoea 1,Oxigeno,4.70,79
Sala 10,L1006,0033C,Zoea 1,Oxigeno,4.67,71
Sala 10,L1007,0033C,Zoea 1,Oxigeno,4.67,71
Sala 10,L1008,0033C,Zoea 1,Oxigeno,5.27,70
Sala 10,L1009,0033C,Zoea 1,Oxigeno,5.31,70
Sala 10,L1010,0033C,Zoea 1,Oxigeno,5.40,70
Sala 10,L1011,0033C,Zoea 1,Oxigeno,5.39,74
Sala 10,L1012,0033C,Zoea 1,Oxigeno,5.37,74
Sala 10,L1013,0033C,Zoea 1,Oxigeno,5.38,72
Sala 10,L1014,0033C,Zoea 1,Oxigeno,5.40,72
Sala 05,L0501,0034C,Zoea 1,Oxigeno,5.12,94
Sala 05,L0502,0034C,Zoea 1,Oxigeno,5.12,97
Sala 05,L0503,0034C,Zoea 1,Oxigeno,5.13,92
Sala 05,L0504,0034C,Zoea 1,Oxigeno,5.15,99
Sala 05,L0505,0034C,Zoea 1,Oxigeno,5.10,92
Sala 05,L0506,0034C,Zoea 1,Oxigeno,5.08,94
Sala 05,L0507,0034C,Zoea 1,Oxigeno,5.11,92
Sala 05,L0508,0034C,Zoea 1,Oxigeno,5.14,91
Sala 05,L0509,0034C,Zoea 1,Oxigeno,5.11,96
Sala 05,L0510,0034C,Zoea 1,Oxigeno,5.11,91
Sala 07,L0701,0034C,Zoea 1,Oxigeno,5.43,78
Sala 07,L0702,0034C,Zoea 1,Oxigeno,5.43,75
Sala 07,L0703,0034C,Zoea 1,Oxigeno,5.32,82
Sala 07,L0704,0034C,Zoea 1,Oxigeno,5.37,77
Sala 07,L0705,0034C,Zoea 1,Oxigeno,5.42,80
Sala 07,L0706,0034C,Zoea 1,Oxigeno,5.41,77
Sala 07,L0707,0034C,Zoea 1,Oxigeno,5.47,80
Sala 07,L0708,0034C,Zoea 1,Oxigeno,5.33,78
Sala 07,L0709,0034C,Zoea 1,Oxigeno,5.35,75
Sala 07,L0710,0034C,Zoea 1,Oxigeno,5.45,75
Sala 07,L0711,0034C,Zoea 1,Oxigeno,5.49,81
Sala 07,L0712,0034C,Zoea 1,Oxigeno,5.36,78
Sala 07,L0713,0034C,Zoea 1,Oxigeno,5.41,76
Sala 07,L0714,0034C,Zoea 1,Oxigeno,5.30,91
Sala 10,L1008,0034C,Zoea 1,Oxigeno,5.57,69
Sala 10,L1009,0034C,Zoea 1,Oxigeno,5.57,69
Sala 10,L1010,0034C,Zoea 1,Oxigeno,5.54,69
Sala 10,L1011,0034C,Zoea 1,Oxigeno,5.52,69
Sala 10,L1012,0034C,Zoea 1,Oxigeno,5.57,71
Sala 10,L1013,0034C,Zoea 1,Oxigeno,5.52,69
Sala 10,L1014,0034C,Zoea 1,Oxigeno,5.58,67
Sala 04,L0401,0035C,Zoea 1,Oxigeno,5.38,99
Sala 04,L0402,0035C,Zoea 1,Oxigeno,5.38,99
Sala 04,L0403,0035C,Zoea 1,Oxigeno,5.36,98
Sala 04,L0404,0035C,Zoea 1,Oxigeno,5.33,99
Sala 04,L0405,0035C,Zoea 1,Oxigeno,5.37,100
