Sector,Piscina,Corrida,Estadio,Parametro,Promedio,supervivencia
Sala 04,L0401,0028C,Zoea 1,Saturacion,84,93
Sala 04,L0402,0028C,Zoea 1,Saturacion,84,93
Sala 04,L0403,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0404,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0405,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0406,0028C,Zoea 1,Saturacion,84,93
Sala 04,L0407,0028C,Zoea 1,Saturacion,84,93
Sala 04,L0408,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0409,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0410,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0411,0028C,Zoea 1,Saturacion,84,93
Sala 04,L0412,0028C,Zoea 1,Saturacion,85,93
Sala 04,L0401,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0402,0029C,Zoea 1,Saturacion,82,93
Sala 04,L0403,0029C,Zoea 1,Saturacion,82,93
Sala 04,L0404,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0405,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0406,0029C,Zoea 1,Saturacion,82,93
Sala 04,L0407,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0408,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0409,0029C,Zoea 1,Saturacion,82,93
Sala 04,L0410,0029C,Zoea 1,Saturacion,82,93
Sala 04,L0411,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0412,0029C,Zoea 1,Saturacion,83,93
Sala 04,L0401,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0402,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0403,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0404,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0405,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0406,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0407,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0408,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0409,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0410,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0411,0030C,Zoea 1,Saturacion,84,93
Sala 04,L0412,0030C,Zoea 1,Saturacion,84,93
Sala 05,L0501,0030C,Zoea 1,Saturacion,79,96
Sala 05,L0502,0030C,Zoea 1,Saturacion,79,96
Sala 05,L0503,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0504,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0505,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0506,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0507,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0508,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0509,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0510,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0511,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0512,0030C,Zoea 1,Saturacion,79,97
Sala 05,L0501,0031C,Zoea 1,Saturacion,81,96
Sala 05,L0502,0031C,Zoea 1,Saturacion,81,96
Sala 05,L0503,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0504,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0505,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0506,0031C,Zoea 1,Saturacion,80,97
Sala 05,L0507,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0508,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0509,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0510,0031C,Zoea 1,Saturacion,80,97
Sala 05,L0511,0031C,Zoea 1,Saturacion,81,97
Sala 05,L0512,0031C,Zoea 1,Saturacion,81,97
Sala 04,L0401,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0402,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0403,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0404,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0406,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0407,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0408,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0409,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0410,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0411,0032C,Zoea 1,Saturacion,84,97
Sala 04,L0412,0032C,Zoea 1,Saturacion,84,97
Sala 05,L0501,0032C,Zoea 1,Saturacion,81,97
Sala 05,L0502,0032C,Zoea 1,Saturacion,80,97
Sala 05,L0503,0032C,Zoea 1,Saturacion,80,97
Sala 05,L0504,0032C,Zoea 1,Saturacion,81,99
Sala 05,L0505,0032C,Zoea 1,Saturacion,80,99
Sala 05,L0506,0032C,Zoea 1,Saturacion,80,99
Sala 05,L0507,0032C,Zoea 1,Saturacion,80,99
Sala 05,L0508,0032C,Zoea 1,Saturacion,80,100
Sala 05,L0509,0032C,Zoea 1,Saturacion,81,100
Sala 05,L0510,0032C,Zoea 1,Saturacion,81,100
Sala 05,L0511,0032C,Zoea 1,Saturacion,81,100
Sala 05,L0512,0032C,Zoea 1,Saturacion,81,100
Sala 07,L0701,0032C,Zoea 1,Saturacion,78,83
Sala 07,L0702,0032C,Zoea 1,Saturacion,75,82
Sala 07,L0703,0032C,Zoea 1,Saturacion,74,50
Sala 07,L0704,0032C,Zoea 1,Saturacion,74,94
Sala 07,L0705,0032C,Zoea 1,Saturacion,75,95
Sala 07,L0706,0032C,Zoea 1,Saturacion,74,92
Sala 07,L0707,0032C,Zoea 1,Saturacion,74,92
Sala 07,L0708,0032C,Zoea 1,Saturacion,75,97
Sala 07,L0709,0032C,Zoea 1,Saturacion,75,94
Sala 07,L0710,0032C,Zoea 1,Saturacion,75,94
Sala 07,L0711,0032C,Zoea 1,Saturacion,75,94
Sala 07,L0712,0032C,Zoea 1,Saturacion,75,97
Sala 07,L0713,0032C,Zoea 1,Saturacion,74,92
Sala 07,L0714,0032C,Zoea 1,Saturacion,74,94
Sala 05,L0501,0033C,Zoea 1,Saturacion,78,93
Sala 05,L0502,0033C,Zoea 1,Saturacion,78,93
Sala 05,L0503,0033C,Zoea 1,Saturacion,78,93
Sala 05,L0504,0033C,Zoea 1,Saturacion,78,93
Sala 05,L0505,0033C,Zoea 1,Saturacion,78,93
Sala 05,L0506,0033C,Zoea 1,Saturacion,78,93
Sala 05,L0507,0033C,Zoea 1,Saturacion,78,90
Sala 05,L0508,0033C,Zoea 1,Saturacion,78,90
Sala 05,L0509,0033C,Zoea 1,Saturacion,78,90
Sala 05,L0510,0033C,Zoea 1,Saturacion,78,90
Sala 05,L0511,0033C,Zoea 1,Saturacion,78,90
Sala 05,L0512,0033C,Zoea 1,Saturacion,78,90
Sala 07,L0701,0033C,Zoea 1,Saturacion,92,70
Sala 07,L0702,0033C,Zoea 1,Saturacion,91,74
Sala 07,L0703,0033C,Zoea 1,Saturacion,91,65
Sala 07,L0704,0033C,Zoea 1,Saturacion,91,94
Sala 07,L0705,0033C,Zoea 1,Saturacion,90,85
Sala 07,L0706,0033C,Zoea 1,Saturacion,92,85
Sala 07,L0707,0033C,Zoea 1,Saturacion,92,88
Sala 07,L0708,0033C,Zoea 1,Saturacion,91,78
Sala 07,L0709,0033C,Zoea 1,Saturacion,91,78
Sala 07,L0710,0033C,Zoea 1,Saturacion,91,60
Sala 07,L0711,0033C,Zoea 1,Saturacion,91,51
Sala 07,L0712,0033C,Zoea 1,Saturacion,90,62
Sala 10,L1001,0033C,Zoea 1,Saturacion,78,93
Sala 10,L1002,0033C,Zoea 1,Saturacion,78,93
Sala 10,L1003,0033C,Zoea 1,Saturacion,77,93
Sala 10,L1004,0033C,Zoea 1,Saturacion,78,93
Sala 10,L1005,0033C,Zoea 1,Saturacion,78,93
Sala 10,L1006,0033C,Zoea 1,Saturacion,78,93
Sala 10,L1007,0033C,Zoea 1,Saturacion,78,94
Sala 10,L1008,0033C,Zoea 1,Saturacion,82,93
Sala 10,L1009,0033C,Zoea 1,Saturacion,83,93
Sala 10,L1010,0033C,Zoea 1,Saturacion,83,93
Sala 10,L1011,0033C,Zoea 1,Saturacion,84,93
Sala 10,L1012,0033C,Zoea 1,Saturacion,83,93
Sala 10,L1013,0033C,Zoea 1,Saturacion,83,93
Sala 10,L1014,0033C,Zoea 1,Saturacion,83,94
Sala 05,L0501,0034C,Zoea 1,Saturacion,79,93
Sala 05,L0502,0034C,Zoea 1,Saturacion,79,94
Sala 05,L0503,0034C,Zoea 1,Saturacion,79,94
Sala 05,L0504,0034C,Zoea 1,Saturacion,79,94
Sala 05,L0505,0034C,Zoea 1,Saturacion,79,95
Sala 05,L0506,0034C,Zoea 1,Saturacion,79,95
Sala 05,L0507,0034C,Zoea 1,Saturacion,79,94
Sala 05,L0508,0034C,Zoea 1,Saturacion,79,94
Sala 05,L0509,0034C,Zoea 1,Saturacion,79,94
Sala 05,L0510,0034C,Zoea 1,Saturacion,78,95
Sala 05,L0511,0034C,Zoea 1,Saturacion,79,95
Sala 05,L0512,0034C,Zoea 1,Saturacion,79,94
Sala 07,L0701,0034C,Zoea 1,Saturacion,87,84
Sala 07,L0702,0034C,Zoea 1,Saturacion,86,81
Sala 07,L0703,0034C,Zoea 1,Saturacion,86,76
Sala 07,L0704,0034C,Zoea 1,Saturacion,85,90
Sala 07,L0705,0034C,Zoea 1,Saturacion,90,82
Sala 07,L0706,0034C,Zoea 1,Saturacion,89,76
Sala 07,L0707,0034C,Zoea 1,Saturacion,89,67
Sala 07,L0708,0034C,Zoea 1,Saturacion,90,84
Sala 07,L0709,0034C,Zoea 1,Saturacion,88,73
Sala 07,L0710,0034C,Zoea 1,Saturacion,85,75
Sala 07,L0711,0034C,Zoea 1,Saturacion,86,70
Sala 07,L0712,0034C,Zoea 1,Saturacion,87,75
Sala 07,L0713,0034C,Zoea 1,Saturacion,85,71
Sala 07,L0714,0034C,Zoea 1,Saturacion,89,76
Sala 10,L1001,0034C,Zoea 1,Saturacion,81,92
Sala 10,L1002,0034C,Zoea 1,Saturacion,82,92
Sala 10,L1003,0034C,Zoea 1,Saturacion,82,92
Sala 10,L1004,0034C,Zoea 1,Saturacion,82,92
Sala 10,L1005,0034C,Zoea 1,Saturacion,81,92
Sala 10,L1006,0034C,Zoea 1,Saturacion,82,92
Sala 10,L1007,0034C,Zoea 1,Saturacion,82,92
Sala 10,L1008,0034C,Zoea 1,Saturacion,84,93
Sala 10,L1009,0034C,Zoea 1,Saturacion,85,93
Sala 10,L1010,0034C,Zoea 1,Saturacion,84,93
Sala 10,L1011,0034C,Zoea 1,Saturacion,86,93
Sala 10,L1012,0034C,Zoea 1,Saturacion,85,93
Sala 10,L1013,0034C,Zoea 1,Saturacion,85,93
Sala 10,L1014,0034C,Zoea 1,Saturacion,86,93
Sala 04,L0401,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0402,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0403,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0404,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0405,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0406,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0407,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0408,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0409,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0410,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0411,0035C,Zoea 1,Saturacion,83,97
Sala 04,L0412,0035C,Zoea 1,Saturacion,83,97
Sala 05,L0501,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0502,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0503,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0504,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0505,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0506,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0507,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0508,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0509,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0510,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0511,0035C,Zoea 1,Saturacion,79,97
Sala 05,L0512,0035C,Zoea 1,Saturacion,79,97
Sala 08,L0801,0035C,Zoea 1,Saturacion,86,99
Sala 08,L0802,0035C,Zoea 1,Saturacion,84,99
Sala 08,L0803,0035C,Zoea 1,Saturacion,81,99
Sala 08,L0804,0035C,Zoea 1,Saturacion,81,99
Sala 08,L0805,0035C,Zoea 1,Saturacion,82,99
Sala 08,L0806,0035C,Zoea 1,Saturacion,80,99
Sala 08,L0807,0035C,Zoea 1,Saturacion,86,99
Sala 08,L0808,0035C,Zoea 1,Saturacion,85,99
Sala 08,L0809,0035C,Zoea 1,Saturacion,84,99
Sala 08,L0810,0035C,Zoea 1,Saturacion,86,99
Sala 08,L0811,0035C,Zoea 1,Saturacion,83,99
Sala 08,L0812,0035C,Zoea 1,Saturacion,84,99
Sala 08,L0813,0035C,Zoea 1,Saturacion,83,99
Sala 08,L0814,0035C,Zoea 1,Saturacion,83,99
Sala 02,L0207,0036C,Zoea 1,Saturacion,79,100
Sala 02,L0208,0036C,Zoea 1,Saturacion,78,100
Sala 02,L0209,0036C,Zoea 1,Saturacion,79,100
Sala 02,L0210,0036C,Zoea 1,Saturacion,77,100
Sala 02,L0211,0036C,Zoea 1,Saturacion,76,100
Sala 02,L0212,0036C,Zoea 1,Saturacion,77,100
Sala 03,L0301,0036C,Zoea 1,Saturacion,75,97
Sala 03,L0302,0036C,Zoea 1,Saturacion,75,97
Sala 03,L0303,0036C,Zoea 1,Saturacion,76,97
Sala 03,L0304,0036C,Zoea 1,Saturacion,76,97
Sala 03,L0305,0036C,Zoea 1,Saturacion,76,97
Sala 03,L0306,0036C,Zoea 1,Saturacion,76,95
Sala 03,L0307,0036C,Zoea 1,Saturacion,76,96
Sala 03,L0308,0036C,Zoea 1,Saturacion,77,96
Sala 03,L0309,0036C,Zoea 1,Saturacion,76,96
Sala 03,L0310,0036C,Zoea 1,Saturacion,76,96
Sala 03,L0311,0036C,Zoea 1,Saturacion,76,96
Sala 03,L0312,0036C,Zoea 1,Saturacion,76,96
Sala 07,L0701,0036C,Zoea 1,Saturacion,87,92
Sala 07,L0702,0036C,Zoea 1,Saturacion,87,92
Sala 07,L0703,0036C,Zoea 1,Saturacion,85,90
Sala 07,L0704,0036C,Zoea 1,Saturacion,86,93
Sala 07,L0705,0036C,Zoea 1,Saturacion,86,95
Sala 07,L0706,0036C,Zoea 1,Saturacion,85,94
Sala 07,L0707,0036C,Zoea 1,Saturacion,84,90
Sala 07,L0708,0036C,Zoea 1,Saturacion,86,93
Sala 07,L0709,0036C,Zoea 1,Saturacion,85,90
Sala 07,L0710,0036C,Zoea 1,Saturacion,86,92
Sala 07,L0711,0036C,Zoea 1,Saturacion,86,92
Sala 07,L0712,0036C,Zoea 1,Saturacion,87,92
Sala 07,L0713,0036C,Zoea 1,Saturacion,85,92
Sala 07,L0714,0036C,Zoea 1,Saturacion,86,92
Sala 10,L1001,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1002,0036C,Zoea 1,Saturacion,82,94
Sala 10,L1003,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1004,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1005,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1006,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1007,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1008,0036C,Zoea 1,Saturacion,83,94
Sala 10,L1009,0036C,Zoea 1,Saturacion,83,95
Sala 10,L1010,0036C,Zoea 1,Saturacion,84,92
Sala 10,L1011,0036C,Zoea 1,Saturacion,83,92
