Sector,Piscina,Corrida,Estadio,Parametro,Promedio,%Supervivencia
Sala 04,L0401,0028C,Zoea 1,Temperatura,33.38,93
Sala 04,L0402,0028C,Zoea 1,Temperatura,33.39,91
Sala 04,L0403,0028C,Zoea 1,Temperatura,33.38,93
Sala 04,L0404,0028C,Zoea 1,Temperatura,33.43,94
Sala 04,L0405,0028C,Zoea 1,Temperatura,33.43,100
Sala 04,L0406,0028C,Zoea 1,Temperatura,33.44,98
Sala 04,L0407,0028C,Zoea 1,Temperatura,33.40,99
Sala 04,L0408,0028C,Zoea 1,Temperatura,33.40,97
Sala 04,L0409,0028C,Zoea 1,Temperatura,33.40,100
Sala 04,L0410,0028C,Zoea 1,Temperatura,33.39,97
Sala 04,L0401,0029C,Zoea 1,Temperatura,33.48,87
Sala 04,L0402,0029C,Zoea 1,Temperatura,33.49,87
Sala 04,L0403,0029C,Zoea 1,Temperatura,33.46,79
Sala 04,L0404,0029C,Zoea 1,Temperatura,33.48,79
Sala 04,L0405,0029C,Zoea 1,Temperatura,33.50,79
Sala 04,L0406,0029C,Zoea 1,Temperatura,33.50,83
Sala 04,L0407,0029C,Zoea 1,Temperatura,33.49,80
Sala 04,L0408,0029C,Zoea 1,Temperatura,33.48,87
Sala 04,L0409,0029C,Zoea 1,Temperatura,33.50,82
Sala 04,L0410,0029C,Zoea 1,Temperatura,33.48,87
Sala 04,L0401,0030C,Zoea 1,Temperatura,33.41,87
Sala 04,L0402,0030C,Zoea 1,Temperatura,33.39,80
Sala 04,L0403,0030C,Zoea 1,Temperatura,33.40,80
Sala 04,L0404,0030C,Zoea 1,Temperatura,33.38,87
Sala 04,L0405,0030C,Zoea 1,Temperatura,33.39,92
Sala 04,L0406,0030C,Zoea 1,Temperatura,33.43,79
Sala 04,L0407,0030C,Zoea 1,Temperatura,33.45,95
Sala 04,L0408,0030C,Zoea 1,Temperatura,33.43,80
Sala 04,L0409,0030C,Zoea 1,Temperatura,33.40,95
Sala 04,L0410,0030C,Zoea 1,Temperatura,33.40,82
Sala 05,L0501,0030C,Zoea 1,Temperatura,33.20,72
Sala 05,L0502,0030C,Zoea 1,Temperatura,33.33,75
Sala 05,L0503,0030C,Zoea 1,Temperatura,33.33,75
Sala 05,L0504,0030C,Zoea 1,Temperatura,33.33,76
Sala 05,L0505,0030C,Zoea 1,Temperatura,33.31,73
Sala 05,L0506,0030C,Zoea 1,Temperatura,33.33,76
Sala 05,L0507,0030C,Zoea 1,Temperatura,33.33,78
Sala 05,L0508,0030C,Zoea 1,Temperatura,33.33,75
Sala 05,L0509,0030C,Zoea 1,Temperatura,33.35,72
Sala 05,L0510,0030C,Zoea 1,Temperatura,33.30,82
Sala 05,L0501,0031C,Zoea 1,Temperatura,33.43,95
Sala 05,L0502,0031C,Zoea 1,Temperatura,33.43,93
Sala 05,L0503,0031C,Zoea 1,Temperatura,33.45,95
Sala 05,L0504,0031C,Zoea 1,Temperatura,33.39,90
Sala 05,L0505,0031C,Zoea 1,Temperatura,33.39,90
Sala 05,L0506,0031C,Zoea 1,Temperatura,33.39,90
Sala 05,L0507,0031C,Zoea 1,Temperatura,31.98,88
Sala 05,L0508,0031C,Zoea 1,Temperatura,31.97,90
Sala 05,L0509,0031C,Zoea 1,Temperatura,31.96,90
Sala 05,L0510,0031C,Zoea 1,Temperatura,31.98,88
Sala 04,L0401,0032C,Zoea 1,Temperatura,33.46,89
Sala 04,L0402,0032C,Zoea 1,Temperatura,33.46,89
Sala 04,L0403,0032C,Zoea 1,Temperatura,33.45,92
Sala 04,L0404,0032C,Zoea 1,Temperatura,33.46,94
Sala 04,L0406,0032C,Zoea 1,Temperatura,33.47,95
Sala 04,L0407,0032C,Zoea 1,Temperatura,33.44,94
Sala 04,L0408,0032C,Zoea 1,Temperatura,33.48,91
Sala 04,L0409,0032C,Zoea 1,Temperatura,33.46,92
Sala 04,L0410,0032C,Zoea 1,Temperatura,33.47,95
Sala 05,L0501,0032C,Zoea 1,Temperatura,33.08,82
Sala 05,L0502,0032C,Zoea 1,Temperatura,33.13,83
Sala 05,L0503,0032C,Zoea 1,Temperatura,33.13,83
Sala 05,L0504,0032C,Zoea 1,Temperatura,33.16,82
Sala 05,L0505,0032C,Zoea 1,Temperatura,33.16,82
Sala 05,L0506,0032C,Zoea 1,Temperatura,33.21,86
Sala 05,L0507,0032C,Zoea 1,Temperatura,33.17,83
Sala 05,L0508,0032C,Zoea 1,Temperatura,32.01,85
Sala 05,L0509,0032C,Zoea 1,Temperatura,32.09,82
Sala 07,L0701,0032C,Zoea 1,Temperatura,32.58,85
Sala 07,L0702,0032C,Zoea 1,Temperatura,32.55,85
Sala 07,L0703,0032C,Zoea 1,Temperatura,32.58,86
Sala 07,L0704,0032C,Zoea 1,Temperatura,32.35,87
Sala 07,L0705,0032C,Zoea 1,Temperatura,32.34,82
Sala 07,L0706,0032C,Zoea 1,Temperatura,32.42,83
Sala 07,L0707,0032C,Zoea 1,Temperatura,32.32,85
Sala 07,L0708,0032C,Zoea 1,Temperatura,32.43,87
Sala 07,L0709,0032C,Zoea 1,Temperatura,32.49,85
Sala 07,L0710,0032C,Zoea 1,Temperatura,32.38,85
